Nama,Komentar,Waktu,Likes,Reply Count
@blacksapi9183,"Dosen ketemu pertanyaan y jawabanny bagus,.",2024-01-10T14:03:37Z,0,0
@nonosumedi7015,"Coba perhatikan Anies, bukan senyum melaikan Anies mulutnya tdk bisa mingkem & ngomong  doang (gak bisa kerja)😝",2024-01-10T11:32:06Z,0,0
@Syafiq_Qisth,"Waktu kemarin debat pertama menurut saya pak Anies yg bagus
Tapi kali ini di debat ketiga saya setuju pak ganjar yang bagus dan unggul jawabannya",2024-01-10T05:37:39Z,1,0
@tyashermawan4459,"Nilai debat kemarin 
Paslon 1 = 120
Paslom 2=180
Paslon 3= 120
Ini nilai tensi darah",2024-01-09T13:04:37Z,2,0
@juzis5783,"Suka banget lihat percakapan dan bahasa tubuh Anies Baswedan disindir juga tetap berikan senyum aku bahagia lihat bahasa tubuh, gestur keseluruhan bikin adem bikin seneng lihatnya dunia internasional juga",2024-01-09T11:05:46Z,2,0
@user-wz8tt7zc6j,Palestina dibawa2,2024-01-09T09:29:45Z,0,0
@blikadekkadek6587,"Pk Prabowo,no 2
❤",2024-01-09T07:54:09Z,0,0
@ignw3757,"Ijin komen, mohon kedepannya komentatornya diganti yang fair tanpa pro paslon manapun, jadi yang di bahas secara fair seperti komentator yang di kanan depan itu bagus banget ngulasnya, tapi yang jas biru blakangnya kurang bagus cenderung nambah nambahin untuk paslon tertentu sekaligus ngejudge paslon lainnya,,, komentator harus fair, memberikan komentar tentang apa yang dibahas semua paslon, salam 🙏",2024-01-09T05:48:35Z,0,0
@user-lc2rt8yr9g,"Saya makin semangat mendukung anis, karna tata bicara nya amat wibawa, dan pantas jadi pemimpin indonesia",2024-01-09T00:15:01Z,1,0
@tunjukanakujalanyglurusdan6718,Semakin kau serang prabowo semakin kami nyakin coblos prabowo subianto,2024-01-08T23:52:24Z,0,0
@windigulo6682,Pak Prabowo hebat pak jgn terkecoh sama dua Paslon lainnya yang menyuruh membuka rahasia pertahanan  negara secara terbuka❤,2024-01-08T19:21:07Z,0,0
@dimaspanji7428,"Gua setuju nih sama yang pake kemeja putih kacamata, anis ngomong ini itu bla bla bla segala macem pertanyaannya, GIMANA CARANYA, faktanua dari 1 juta rumah dp0% yang dibahas waktu debat sama ahok, cuma terealisasi kurang dari 10.000 , anis itu pinter bicara jadi kita harus hati hati, balik lagi Gimana caranya",2024-01-08T18:48:59Z,0,0
@dimaspanji7428,"Dari 4 menit pembukaan anis, cuma kata kata ""food estate memperkaya kroni"" Aja sih yang fakta, sisanya omong kosong, mau memerdekakan palestina katanya emang dia siapa? Mau pakai cara apa? Kalo janji itu kasih itung itungan nya jangan cuma angan angan dan akhirnya tidak terealisasikan seperti rumah dp 0%",2024-01-08T18:40:24Z,0,0
@effitarachmaniswati5536,"Man of the Match Pak Ganjar Pranowo...total penampilannya...Lugas, Tegas , Berwibawa...plus bonus stylenya Badazzzz",2024-01-08T17:00:49Z,1,0
@kutoro-ck8cr,Kpu tolong waktunya lebih panjng lagi untuk si penjawab agar jawaban lebih jelas terperinci tidak setengah2,2024-01-08T16:04:16Z,0,0
@AhmadnrAhmadnr-oy8yj,Siapa pun presiden ny smoga semakin jaya dan sejahtera sluruh rakyat Indonesia,2024-01-08T15:35:22Z,0,0
@farizcakep3247,✌️✌️,2024-01-08T14:46:15Z,0,0
@afidatulmuzayyanah2890,Pak anis kok ga kedip2 ya matanya kuat bgt,2024-01-08T13:48:24Z,0,0
@nugrah.marjuki1236,Btw penonton yg hadir itu dari kampung mana . Kok ribut kayak anak2 smp maen futsal,2024-01-08T13:28:03Z,0,0
