author,text
@nuraprelianti6437,03 menang
@enjelinurulkamariah6729,siappp dukung 03!!!
@tarahardiantini2099,Sukses untunk pak Ganjar❤
@user-uh3zy3bn3i,"Saya mendoakan Pak Prabowo yg menjadi pemimpin kita, orang jujur niat ikhlas terlihat dari wajahmu pak semangat terus pak saya yakin bapak menang, awalnya saya Pak Anis entah knapa saya yakin ke Pak Prabowo, bismillah pak"
@user-qb3pi3se5s,prabowo = jokowi sedang beri signal keganjar = megawati untuk damai dan konsolidasi😂
@mohdtariq1745,Ha
@makganjarkaltim1548,3 yes
@user-gu5vt7os4d,"Siapapun yg akan terpilih menjadi capres dan cawapres ditahun 2024, kami sebagai masyarakat sangat berharap kepada bpk² selaku pimpinan negara bisa secepatnya untuk mengatasi masalah² yg sering meresahkan kami dari dulu hingga sekarang.
1. Narkoba
Ditempat kami kususnya disetiap dusun, desa, kecamatan yg menjadi bagian dari kabupaten ketapang, provinsi kalbar banyak yg mengeluh karena sering terjadi kehilangan barang² berharga, dan tidak lain pelaku² pecurian tersebut para pencandu narkoba. Tingkat Narkoba semakin hari semakin bertambah, kami berharap bpk bisa mengatasi dan memberantas bandar² pengedar narkoba sampai keakar-akarnya. Karena kami sangat kawatir apabila kasus ini terus² dibiarkan, masyarakat² yg lain trutama keluarga² dari kami ikut terpengaruh akan hal² seperti itu.
2. Infrastruktur mengenai akses lalu lintas setiap kendaraan.
Banyak masyarakat yg mengeluh mengenai akses lalu lintas yg hancur, bonyok, licin pada saat memasuki musim penghujan, berdebu dan berlubang pada saat musim panas. Dikarenakan masih  banyak titik² jalan provinsi yang hancur dan belum diaspal salah satunya didaerah kami dari tingkat desa, kecamatan, kususnya yg menjadi bagian dari kabupaten ketapang, provinsi kalbar.
3. Harga Karet dan harga kelapa sawit.
Kami sebagai masyarakat sangat berharap dari tahun ketahun harga jual beli karet dan kelapa sawit bisa semakin meningkat untuk mata pencaharian kami sebagai para petani². sedangkan harga sembakao, serta keperluan pangan lainnya semakin hari, semakin tahun semakin meningkat. 🙏🙏🙏"
@wahyuniyuni7573,1
@AnytuberS9723,Imagine buying views while having 2m+ Subscribers 😂
@user-op3wt7rn6l,Yang penting pemimpinya bisa stabilkan masyarakatnya.
@auliaalda4443,"Kita butuh pemimpin yang bijaksana, pemimpin yang peduli kepada rakyat, tanpa memandang bulu. Berjuang bersama rakyat tanpa mengesampingkan rakyat. Pemimpin yang adil.semoga amiiiiin"
@jarambahboy9391,Wkwkwkkwkwwk pertanyaan Nya A Jawabanya ngaler dan ngidul. Siapa kah itu?????
@Muh_pga,kita butuh pemimpin yg cerdas dan berani tapi bagi negara asing butuh pemimpin kita yang bodoh dan pengecut
@haidenlumanda8011,cocok jadi jubirnya prabowo nanti klu prabowo da dilantik nanti
@gubukbambu5962,"Kok pada nyerang no 2 ?? 

Loh, ini debat, ya memang harus serang² an. Harus menjatuhkan. Kalo saling sepakat bukan debat namanya. 😊"
@asmitapal3950,"প্রতিদিন প্রতিটা মানুষকে নিঃস্ব করে দিচ্ছেন, এই বার থামুন 😢😂😢"
@rakyatjelata9762,anis ngomong kalo dia dapat mandat. aparat-aparat negara stiap taun bakal naik gaji.
@rakyatjelata9762,si awo tiap di tanya jawab nya apa.... mungkin dia incumben... 😂
@ainunputri8724,"Heran kok host nya diem doang, pas pak anis  jwb pertanyaan dari pak ganjar padahal kan bukan sesi dia"
@sydneysalvador5259,"Berharap dapat pemimpin  yg bisa bawa negara Indonesia  maju di manga negara… , tak butuh pemimpin yg banyak bicara less kerja nya.. tantangan dunia serta işi nya mangkin  susah dan berat. Ingat 270 juta rakyat ada di tangan kalian nasib nya"
@Febrilasem.,"Satu jiwa.
  Semoga berguna untuk negara, bangsa, dan negara.
Merdeka."
@retnoayuyuliastuti4244,"dimana2 kalau jadi pimpinan tidak semudah yg dibayangkan... Siapapun PEMIMPINNYA, SEMOGA AMANAH dan tetap dijalur BENAR.. PILIH dengan hati.."
@AmbyahMolto-uj4fg,Kalo cuma bicara semua orang bisa negara ini butuh pemimpin yang mebuwat negara ini kuwat dan maju tanpa korupsi pilih 2 mantap maju.terus
@nanas2968,"Tolong siapapun presidennya, tolong bantu seniman. Kasih ruang untuk indonesia ke arah yg lebih baik. Karena sejauh ini para seniman sering dipandang sebelah mata karena minimnya edukasi dan apresiasi, kasus copyrights, dll. Saya merasa sangat disayangkan karena sudah puluhan tahun indonesia merdeka tapi seniman masih tersisihkan, sedangkan di negeri orang seniman lebih dihargai. Jangan sampai karena diterlantarkan indonesia jadi kekurangan para orang kreatif dan inovatif karena lebih memilih ke luar negeri. Masih banyak sekali orang indonesia yg berpikir ""hanya karya seperti itu, dengan harga segitu"". Sangat disayangkan. Tolong bantu tegaskan juga masalah copyrights, dan bantu permudah syarat"" hak paten/hak cipta. Karena saya ga tau kenapa mengurus sesuatu di indonesia terasa ngaret betul dan rumit.

Indonesia mau maju dengan teknologi, kreatif dan inovatif kan? Maka dari itu seniman termasuk memiliki andil penting tapi sayangnya sejak lama terus terlantar. Bahkan dalam beberapa kasus perlombaan/persaingan pun ada yg karena masalah ordal. Ordal memang sesuatu yg mungkin sulit diselesaikan sampai 100% tapi sangat miris sekali di indonesia ini ""ordal"" Itu udah lebih dari batas kewajaran menurut saya. Sedih aja karya jadi ga berharga dan kalah saing hanya karena ordal, dan menurut saya ini salah satu bentuk tidak menghargai seniman dan karya seni. Agaknya hukum dan kurikulum indonesia harus turut andil mengubah persepsi ini bahwa ""usaha"" Itu harus dihargai juga. Kalau tidak bisa memuji setidaknya jangan merendahkan atau menghina lah minimal. Sedih dan miris  banget sih gua sebagai seniman, jujur aja."
@auzeldema7729,Wkwk belom waktunya ngomong kok udah motong2 😅
@nafisahmad4592,all in prabowo
@lalitmaratha8777,😅
@manusiajawa715,cuman gua yg nyadar hand-signernya ikut main drum sama guitar?
@ahammadhussain6412,Series name
@user-yc9np8lh6l,"ANIS            =  nilai  9
Ganjar.        =  nilai  7.5
Peabowo    = nilai  5"
@religionbylogic8237,"2 terlalu kuat, oleh sebab itu mereka mau menjatuhkan nomer 2. Sebab itu pemimpin bukan melihat ancaman kedepan yang akan datang, tapi memastikan kebutuhan dan apa yang dihadapi dimasa ini, mampu diatasinya."
@surabhidasharadhgoudvlogs3543,Telegana
@mrharunchan1827,"Insya Allah...Anies Menuju RI 1.
Karena beliau punya pengalaman memimpin DKI, sukses dalam memimpin DKI, DKI menjadi kota Internasional di bawah pengaturan beliau.
Bismillah.... Anies For Presiden 2024.
Aamiin ya Robbal'aalamiin"
@kroco335,"Gw pendukung AMIN, tapi ada yang ga gw setuju yaitu membuka kekurangan dari pertahanan negara Indonesia ke publik, karena apa? Karena itu sensitif pak itu tentang pertahanan, banyak negara diluar sana yang SANGAT MERAHASIAKAN KEKURANGAN TENTANG PERTAHANAN NEGARA, ini sama kaya pas rapat DPR dengan Kemenhan, tanya tentang Apa aja yang dibelanjakan dari APBN untuk pertahanan, pak prabowo ga mau jawab dirapat saat itu karena itu rapat terbuka, dia mau menjawab syaratnya harus rapat tertutup karena itu rahasia negara pertahanan bro, tapi gapapa gw tetep dukung AMIN, karena manusia pasti punya kesalahan 😁😁 bismillah AMIN presiden dan wakil presiden 2024 🤲🤲"
@risahaqo5853,Semoga Allah pilihkan pemimpin yang sidiq amanah fatonah tablig 🤲🏻
@lalafarhan4394,nampaknya  Prabowo itu jujur orgnya yer. yg 2 itu serang peribadi.
@muhamadroma4361,Jawaban pak Prabowo kena tuh ke anis😅😅
@gamingwithsumit2665,Nice
@andirebort8921,"jika mengetahui strategi perang, memberikan data terbuka maka memberikan kemenangan kepada musuh. banyak orang"" tak mengerti strategi perang. enak aja mau buka"" melalui media. emangnya yang nonton orang indonesia aja? jangan lengah karena kerja keras perdamaian oleh tentara... yang tak pernah disebut media tapi riuh dibicarakan tentara Allah. semakin banyak kesalahan bagi orang yang hatinya tulus melindungi negara, maka itu akan menjadi bom waktu bagi yang melakukannya."
@hikayatun525,Gemoysian😂
@sherlinkusumadewi9922,"Anis ini kebanyakan mengkhayal kayaknya pengennya yg indah2, coba pas kerja gagal semua kan gabisa"
@alamsulaiman4562,"Kita butuh pemimpin yg baik, bukan cuma nutupin kali item dgn waring .."
@fachrimaulana6380,Semakin yakin #01
@irtila429,pak ganjar yang terbaik   santai klo jawab nya maju terus pak❤❤❤
@naililmuna8344,Amin
@sitimasriah3406,Prabowo.gibran semangt trus
@rikaamelia7178,Butuh pemimpin yg cerdas dan jelas kepemimpinannya seperti 03
@aromadevi0224,Prabowo hanya kurang merangkai kata untuk menjawab. Tetapi dia cerdas dan sudah ada hasil kerjanya
@user-rh5io3kb1w,Sehat pk anis.Amin
@elizabethlauren5552,Jd pemimpin gk boleh Omon omon doang wwkwk
@elizabethlauren5552,Jd pemimpin gk boleh Omon omon doang wwkwk
@septiansantosa2551,untung pak prabowo gak kepancing emosi buka data pertahanan negara saat 1 & 3 nyerang
@alahuakbar2257,"seru ini  dulu dulu capres cm 2 kubu. sekarang 3 kubu . 😂😂😂 masyarakat terbagi jadi 3 kubu 😂😂

harusnya kayak 2004 ada 5 kubu capres baru seru lg"
@iambintang13,Bangga banget gw sama prabowo weehhh!!!! 😢❤
@user-fb9nk3hm7s,Kita butuh pemimpin yg bisa mensejahtrakan rakyat yg bisa menciptakan lapangan kerja bukan bantuan di huapi bukan begitu mendidik rakyat tapi lapangan kerja wajib di mudahkan agar semua rakyat kalangan sd smp tak terlunta lunta ini jaman masih banyak yg tidak sekolah larinya kemana kesejahtraan dari bawah dipentingkan dong jangan banyak omong
@andreaslandak9532,2 apa Adana’ya gass
@TupaidanTikus,"Hanya percaya satu hal.. manusia boleh berencana, tapi keputusan Tuhanlah yg jadi. So, mari kita lihat siapa yg dipercaya Tuhan utk memimpin Indonesia Maju 2024 ❤"
@bramudia4037,"Disuruh ngebongkar rahasia negara, adeuhh!!!! nih channel perasaan ga di tonton sama konoha doang"
@AdenGodel,Aminn
@Pinkhair332,Sifar asli dari lahir itu susah buat di gamti. Bahkan kl di tutupin jg cuman bisa sementara saja. Begitu lah kura kura
@studiomoviechannel595,Salfok sm pemeraga tunarungu nya. Ekspresif bgt 😂👍
@user-je4ow7kv2v,"sebelum pilih nomor 1 coba dulu baca ttg nomor 1 yang bikin Formula 1 gagal, anggaran lem aibon yang ga masuk akal, resapan air, saya itu lihat dgn mata kepala saya sendiri masa lem aibon kecil harga nya ratusan ribu di shopee aja cuman 13rb dan yang di beli itu untuk seluruh persekolan di Jakarta. Pertanyaannya itu lem mau buat apa? di hirup (?)
Yang tinggal di Jakarta pasti paham, dulu jaman ahok gaada banjir semenjak ganti jadi nomor 1 SMA saya banjir sampai lantai 2 😂 saya ingat sekali jaman SMA harus sampai ngungsi
Kalau ngga percaya salah satu “resapan” airnya ada itu di Kemang dan sama sekali ngga ngaruh kena banjir juga. Buku Pelajaran juga Penerbitnya di ganti semua tiba2 di suruh beli buku baru, kirain beda eh pas di cek sama aja isi nya. Buat apa. Dulu saya gatau siapa Bapak Anies sampai yang buku penerbit diganti terus saya tanya teman saya “Ini kenapa dadakan banget sih disuruh gantinya?karena apa?” terus dia blg “itu kan Mentri nya ganti jadi Anies” darisitu saya cek saya kira beda eh ternyata pas saya cek isi nya sama aja. Persis. Btw ini saya sekolah di SMA terbaik di Jakarta ya. Jadi bukan buzzer cuman mau bilang fakta nya."
@4ia04_misbahfaizal8,"kebanyakan yang di bicarakan oleh nomor 1, menurut saya itu semua adalah ladang korupsi :) percuma klo belum di berantas"
@jidadifa7933,Prabowooo❤
@sayutimalek1701,pak anies❤
@mayagustinairfa,Pak anis rasyid baswedan gak ada imbang masyaa allah🎉🎉
@indoraya7941,Salute Prabowo 🫡
@alfanfatoni9302,MAU DEBAT BERIBU2 PRABOWO TETEP JADI PRESIDEN
@bintmuh7857,"Objektif aja sih Pak Anis pemenang 2 kali debat capres, Pak Ganjar di posisi ke 2, dan Prabowo selalu di posisi terakhir😂 karena banyak ngalur ngidul jawabannya ngga jelas dan terlalu emosional 😅"
@firmanekohertanto,"sdh jelas Prabowo tidak menguasai bahan debat, Anies hanya mengambang ntah kemana2..., dan hanya Ganjar yang sangat masuk akal dan bisa dilakukan...bukan hanya mimpi"
@Peaceful_mind12345,It's Monica
@lintangdwi1223,Sehat selalu untuk pak prabowo ❤
@achmadfauzan7342,Wowowo ngawur
@masmydin7433,✌️✌️✌️✌️
@nurinandaprisky6643,"Doh geregetan sm hostnya, kyk gini bukan debat atuh mas mbak, suka di menit pak Ganjar dan pak Prabowo tek tokkan. Itu baru debat"
@golonganputih,"Tema Debat ke2 & ke3 seolah sudah d atur menyesuaikan kompetensi Paslon 02. Tp toh mereka ttp zonk pas debat.  ANIES PRESIDEN, NASDEM JUARA!"
@hazardhunterofficial9907,Soal pertahanan negara prabowo jawaban nya
@windehee,"Drpd sibuk menjatuhkan pihak lawan, waktunya tonjolkan nilai positif masing masing"
@MasFaqir,"Perhatikan media² yg di digunakan debat, pda saat debat capres dan cawapres pasti ada yg beda dg capres😅"
@user-ks8ni6nw4t,Ketiga capres mantap semua👍👍
@yuliamimi8714,Mau siapa saja yg jadi presiden kita tetep kerja sendiri untuk makan semoga Indonesia dipimpin orang yg tepat
@alyanavida519,Semoga p ganjar dan p mahfud mnjadi presiden 2024
@MasFaqir,Ga nyambung pak wowo😅
@MasFaqir,"02 selalu ngomong menjaga politik baik, tidak memihak😅 ko yo ra sadar😅 apa brusaha menghilangkan menset MK??"
@adrianekadanta4104,"Indonesia Butuh pemimpin real action dan saya yakin hanya ada di Pasangan Paslon No. 2 , All In Prabowo"
@bocilkarambol,Si anti kritik emosian😂
@ryodjea,"Akun"" dicurigai buzzer di YouTube yaitu akun YouTube-nya baru dibuat 😂 
Malah liat ad banyak yg akunya baru 1 tahun - 4 bulan lalu dibuat. Agak aneh"
@user-rs6bd8hl2l,bismillah menangkan pak ganjar🎉
@hankuknara,Saya milih yg gak pinter aja.
@user-gu4es8jg3g,"Ini bukan debat yg sehat,tapi saling mencari kesalahan2 masing2 paslon"
@vaizalibnunoorabidiin-wn2vv,Calon calon presiden yang handal
@jihanoctamediza7899,Duh paslon 01 dan 02 ngomongin data pertahanan indonesia waras kah? Itu rahasia loh orang luar negri jadi tau donh hadeehhhh. Semakin jelas sapa yg punya intregitras
@taqimputra4884,Siapa pun presidene nya semoga ada rencana mbantu Palestina.   Free pleatine amin ya allah
@anggypriyandi2416,fakta ternyata data dari pak anies dan pak ganjar tidak bisa di bantah
@gachaskin7978,"Curiga gara² ""angin"" Di debat pertama, paslon 1 jadi personal bgt"
@wawanhadi6333,Anis kerennn
@septiansantosa2551,anis out of topic 😂 isi nya cuma nyerang 2 😂
@pro.perjuangan6214,Amin 1 🇮🇩
@bimbimaselole7769,pak anis daging semua😂
@jurnalismewarga62,"yg mau kelak nanti anaknya seperti prabowo mana suaranya...

dan yg mau kelak nanti anaknya seperti anies mana suaranya...

yg mau kelak nanti anaknya seperti prabowo mana suaranya...

dan yg mau kelak nanti anaknya seperti ganjar mana suaranya..."
